r,theta,z,Energy,Detection Efficiency
90.0,0.0,172.0,800,0.0029614117647058
90.0,0.0,172.0,1000,0.002545625
90.0,0.0,172.0,1200,0.002195
90.0,0.0,172.0,1400,0.0019741176470588
90.0,0.0,172.0,1600,0.0017725
90.0,0.0,172.0,1800,0.0015316666666666
90.0,0.0,172.0,2000,0.0014335294117647
90.0,0.0,172.0,2200,0.0014275294117647
90.0,0.0,172.0,2400,0.0012288888888888
120.0,0.0,82.0,20,0.0005236666666666
120.0,0.0,82.0,30,0.0026491111111111
120.0,0.0,82.0,50,0.0108433529411764
120.0,0.0,82.0,80,0.01658925
120.0,0.0,82.0,100,0.01713775
120.0,0.0,82.0,200,0.0144578235294117
120.0,0.0,82.0,300,0.0107992777777777
120.0,0.0,82.0,500,0.0069395294117647
120.0,0.0,82.0,800,0.0047780588235294
120.0,0.0,82.0,1000,0.003965625
120.0,0.0,82.0,1200,0.0035236666666666
120.0,0.0,82.0,1400,0.0030898823529411
120.0,0.0,82.0,1600,0.0028085
120.0,0.0,82.0,1800,0.0024970555555555
120.0,0.0,82.0,2000,0.0022755294117647
120.0,0.0,82.0,2200,0.0021001176470588
120.0,0.0,82.0,2400,0.0020174444444444
120.0,0.0,112.0,20,0.0003660555555555
120.0,0.0,112.0,30,0.0020432222222222
120.0,0.0,112.0,50,0.0089493529411764
120.0,0.0,112.0,80,0.013743375
120.0,0.0,112.0,100,0.014527375
120.0,0.0,112.0,200,0.0119488823529411
120.0,0.0,112.0,300,0.0089298333333333
120.0,0.0,112.0,500,0.0056502352941176
120.0,0.0,112.0,800,0.0039646470588235
120.0,0.0,112.0,1000,0.0032847058823529
120.0,0.0,112.0,1200,0.0028123333333333
120.0,0.0,112.0,1400,0.0025914117647058
120.0,0.0,112.0,1600,0.0023121764705882
120.0,0.0,112.0,1800,0.0020234444444444
120.0,0.0,112.0,2000,0.0019419411764705
120.0,0.0,112.0,2200,0.0017117058823529
120.0,0.0,112.0,2400,0.0016544444444444
120.0,0.0,142.0,20,0.0002851111111111
120.0,0.0,142.0,30,0.0015758888888888
120.0,0.0,142.0,50,0.0072610588235294
120.0,0.0,142.0,80,0.010988125
120.0,0.0,142.0,100,0.011617625
120.0,0.0,142.0,200,0.0093621176470588
120.0,0.0,142.0,300,0.007024
120.0,0.0,142.0,500,0.0045425294117647
120.0,0.0,142.0,800,0.0029703529411764
120.0,0.0,142.0,1000,0.002735625
120.0,0.0,142.0,1200,0.0022105
120.0,0.0,142.0,1400,0.0021091176470588
120.0,0.0,142.0,1600,0.00174425
120.0,0.0,142.0,1800,0.001611
120.0,0.0,142.0,2000,0.001509294117647
120.0,0.0,142.0,2200,0.0014310588235294
120.0,0.0,142.0,2400,0.0012718888888888
120.0,0.0,172.0,20,0.0002726666666666
120.0,0.0,172.0,30,0.0012945555555555
120.0,0.0,172.0,50,0.0056613529411764
120.0,0.0,172.0,80,0.008594375
120.0,0.0,172.0,100,0.008972375
120.0,0.0,172.0,200,0.0071549411764705
120.0,0.0,172.0,300,0.005577
120.0,0.0,172.0,500,0.0034484117647058
120.0,0.0,172.0,800,0.0023466470588235
120.0,0.0,172.0,1000,0.002006
120.0,0.0,172.0,1200,0.0016946666666666
120.0,0.0,172.0,1400,0.0015971176470588
120.0,0.0,172.0,1600,0.0013987647058823
120.0,0.0,172.0,1800,0.0013212777777777
120.0,0.0,172.0,2000,0.0011579411764705
120.0,0.0,172.0,2200,0.0010405294117647
120.0,0.0,172.0,2400,0.0010074444444444
42.0,0.0,67.0,20,0.0043964444444444
42.0,0.0,67.0,30,0.0229246470588235
42.0,0.0,67.0,50,0.0932704117647059
42.0,0.0,67.0,80,0.14064225
42.0,0.0,67.0,100,0.1459665882352941
42.0,0.0,67.0,200,0.1153115882352941
42.0,0.0,67.0,300,0.0850316666666666
42.0,0.0,67.0,500,0.0547651764705882
42.0,0.0,67.0,800,0.0375480588235294
42.0,0.0,67.0,1000,0.0317404117647058
42.0,0.0,67.0,1200,0.0278301111111111
42.0,0.0,67.0,1400,0.0246225294117647
42.0,0.0,67.0,1600,0.0219385882352941
42.0,0.0,67.0,1800,0.0200484444444444
42.0,0.0,67.0,2000,0.018115
42.0,0.0,67.0,2200,0.0167587058823529
42.0,0.0,67.0,2400,0.01546
42.0,0.0,37.0,20,0.0054231111111111
42.0,0.0,37.0,30,0.0268826470588235
42.0,0.0,37.0,50,0.1113081176470588
42.0,0.0,37.0,80,0.170154
42.0,0.0,37.0,100,0.1771375294117647
42.0,0.0,37.0,200,0.1434394705882353
42.0,0.0,37.0,300,0.1051390555555555
42.0,0.0,37.0,500,0.0671256470588235
42.0,0.0,37.0,800,0.0454388235294117
42.0,0.0,37.0,1000,0.0390804705882352
42.0,0.0,37.0,1200,0.0333266666666666
42.0,0.0,37.0,1400,0.0297545294117647
42.0,0.0,37.0,1600,0.0266423529411764
42.0,0.0,37.0,1800,0.0238217777777777
42.0,0.0,37.0,2000,0.0219000588235294
42.0,0.0,37.0,2200,0.0204758823529411
42.0,0.0,37.0,2400,0.0184823333333333
42.0,0.0,7.0,20,0.0025116666666666
42.0,0.0,7.0,30,0.0119294117647058
42.0,0.0,7.0,50,0.0515671176470588
42.0,0.0,7.0,80,0.080222375
42.0,0.0,7.0,100,0.0842850588235294
42.0,0.0,7.0,200,0.0699292352941176
42.0,0.0,7.0,300,0.0516220555555555
42.0,0.0,7.0,500,0.0341210588235294
42.0,0.0,7.0,800,0.0239857647058823
42.0,0.0,7.0,1000,0.020161
42.0,0.0,7.0,1200,0.0173975
42.0,0.0,7.0,1400,0.0157925882352941
42.0,0.0,7.0,1600,0.0141187647058823
42.0,0.0,7.0,1800,0.0128733333333333
42.0,0.0,7.0,2000,0.0118363529411764
42.0,0.0,7.0,2200,0.0109973529411764
42.0,0.0,7.0,2400,0.0100508888888888
42.0,0.0,-23.0,20,0.0009406666666666
42.0,0.0,-23.0,30,0.0058629411764705
42.0,0.0,-23.0,50,0.0265136470588235
42.0,0.0,-23.0,80,0.041397625
42.0,0.0,-23.0,100,0.0435207058823529
42.0,0.0,-23.0,200,0.0345467058823529
42.0,0.0,-23.0,300,0.0255291111111111
42.0,0.0,-23.0,500,0.0166261176470588
42.0,0.0,-23.0,800,0.0115982352941176
42.0,0.0,-23.0,1000,0.0099191176470588
42.0,0.0,-23.0,1200,0.0084726666666666
42.0,0.0,-23.0,1400,0.0075685882352941
42.0,0.0,-23.0,1600,0.0069980588235294
42.0,0.0,-23.0,1800,0.0064481666666666
42.0,0.0,-23.0,2000,0.0057780588235294
42.0,0.0,-23.0,2200,0.0051487647058823
42.0,0.0,-23.0,2400,0.0048056666666666
42.0,0.0,-53.0,20,0.0003245555555555
42.0,0.0,-53.0,30,0.0028067058823529
42.0,0.0,-53.0,50,0.0134617058823529
42.0,0.0,-53.0,80,0.02250975
42.0,0.0,-53.0,100,0.0230906470588235
42.0,0.0,-53.0,200,0.0186237058823529
42.0,0.0,-53.0,300,0.0140481111111111
42.0,0.0,-53.0,500,0.0089028823529411
42.0,0.0,-53.0,800,0.0062952352941176
42.0,0.0,-53.0,1000,0.0053423529411764
42.0,0.0,-53.0,1200,0.0047764444444444
